date,r_port,turnover,n_eff,w_SPX,w_BOND,w_GOLD,w_OIL,w_USD
2025-10-27,0.012215141327379442,0.0,1.0,1.0,0.0,0.0,0.0,0.0
2025-10-28,0.0022853305022287884,0.0,1.0,1.0,0.0,0.0,0.0,0.0
2025-10-29,-4.357920473196941e-05,0.0,1.0,1.0,0.0,0.0,0.0,0.0
2025-10-30,-0.009954191424535352,0.0,1.0,1.0,0.0,0.0,0.0,0.0
2025-10-31,0.002614500917884399,0.0,1.0,1.0,0.0,0.0,0.0,0.0
2025-11-03,0.0017192339969174242,0.0,1.0,1.0,0.0,0.0,0.0,0.0
2025-11-04,-0.0118062503923273,0.0,1.0,1.0,0.0,0.0,0.0,0.0
2025-11-05,0.0036468976756882654,0.0,1.0,1.0,0.0,0.0,0.0,0.0
2025-11-06,-0.011241134514722972,0.0,1.0,1.0,0.0,0.0,0.0,0.0
2025-11-07,0.0012610463474942435,0.0,1.0,1.0,0.0,0.0,0.0,0.0
2025-11-10,0.015283626703501696,0.0,1.0,1.0,0.0,0.0,0.0,0.0
2025-11-11,0.0020731999523917466,0.0,1.0,1.0,0.0,0.0,0.0,0.0
2025-11-12,0.0006293191259434394,0.0,1.0,1.0,0.0,0.0,0.0,0.0
2025-11-13,-0.016695451630926783,0.0,1.0,1.0,0.0,0.0,0.0,0.0
2025-11-14,-0.000501851471272019,0.0,1.0,1.0,0.0,0.0,0.0,0.0
2025-11-17,-0.009204497894305774,0.0,1.0,1.0,0.0,0.0,0.0,0.0
2025-11-18,-0.00829070984416802,0.0,1.0,1.0,0.0,0.0,0.0,0.0
2025-11-19,0.003746807737265101,0.0,1.0,1.0,0.0,0.0,0.0,0.0
2025-11-20,-0.015689726116315583,0.0,1.0,1.0,0.0,0.0,0.0,0.0
2025-11-21,0.009775103041592459,0.0,1.0,1.0,0.0,0.0,0.0,0.0
2025-11-24,0.015348818899081351,0.0,1.0,1.0,0.0,0.0,0.0,0.0
2025-11-25,0.009020886000833173,0.0,1.0,1.0,0.0,0.0,0.0,0.0
2025-11-26,0.006882969436150077,0.0,1.0,1.0,0.0,0.0,0.0,0.0
2025-11-28,0.005340487341136679,0.0,1.0,1.0,0.0,0.0,0.0,0.0
2025-12-01,-0.0053375487460556315,0.0,1.0,1.0,0.0,0.0,0.0,0.0
2025-12-02,0.0024542211959364124,0.0,1.0,1.0,0.0,0.0,0.0,0.0
2025-12-03,0.0029753605210860457,0.0,1.0,1.0,0.0,0.0,0.0,0.0
2025-12-04,0.0010797387119740876,0.0,1.0,1.0,0.0,0.0,0.0,0.0
2025-12-05,0.0019347688846789168,0.0,1.0,1.0,0.0,0.0,0.0,0.0
2025-12-08,-0.003483315331648029,0.0,1.0,1.0,0.0,0.0,0.0,0.0
2025-12-09,-0.0008767431610134935,0.0,1.0,1.0,0.0,0.0,0.0,0.0
2025-12-10,0.006726880659140733,0.0,1.0,1.0,0.0,0.0,0.0,0.0
2025-12-11,0.0020771919837159203,0.0,1.0,1.0,0.0,0.0,0.0,0.0
2025-12-12,-0.010720913458554193,0.0,1.0,1.0,0.0,0.0,0.0,0.0
2025-12-15,-0.0015978388918362896,0.0,1.0,1.0,0.0,0.0,0.0,0.0
2025-12-16,-0.0023867640084400676,0.0,1.0,1.0,0.0,0.0,0.0,0.0
2025-12-17,-0.011659856611370145,0.0,1.0,1.0,0.0,0.0,0.0,0.0
2025-12-18,0.007902951520478041,0.0,1.0,1.0,0.0,0.0,0.0,0.0
2025-12-19,0.008779407421830143,0.0,1.0,1.0,0.0,0.0,0.0,0.0
2025-12-22,0.006415870575560589,0.0,1.0,1.0,0.0,0.0,0.0,0.0
2025-12-23,0.00454006704678811,0.0,1.0,1.0,0.0,0.0,0.0,0.0
2025-12-24,0.00321630434470066,0.0,1.0,1.0,0.0,0.0,0.0,0.0
2025-12-26,-0.00030440987710811385,0.0,1.0,1.0,0.0,0.0,0.0,0.0
2025-12-29,-0.003498162923936121,0.0,1.0,1.0,0.0,0.0,0.0,0.0
2025-12-30,-0.0013766142506543844,0.0,1.0,1.0,0.0,0.0,0.0,0.0
2025-12-31,-0.007384867434248932,0.0,1.0,1.0,0.0,0.0,0.0,0.0
2026-01-02,0.0018929140261150224,0.0,1.0,1.0,0.0,0.0,0.0,0.0
2026-01-05,0.006334024511051695,0.0,1.0,1.0,0.0,0.0,0.0,0.0
2026-01-06,0.006177592003894006,0.0,1.0,1.0,0.0,0.0,0.0,0.0
2026-01-07,-0.00344585357101046,0.0,1.0,1.0,0.0,0.0,0.0,0.0
2026-01-08,7.654532942424908e-05,0.0,1.0,1.0,0.0,0.0,0.0,0.0
2026-01-09,0.006454611138320132,0.0,1.0,1.0,0.0,0.0,0.0,0.0
2026-01-12,0.0015763900591814206,0.0,1.0,1.0,0.0,0.0,0.0,0.0
2026-01-13,-0.001941005588207645,0.0,1.0,1.0,0.0,0.0,0.0,0.0
2026-01-14,-0.005347633584134925,0.0,1.0,1.0,0.0,0.0,0.0,0.0
2026-01-15,0.0025766039204437874,0.0,1.0,1.0,0.0,0.0,0.0,0.0
2026-01-16,-0.0006425086684505033,0.0,1.0,1.0,0.0,0.0,0.0,0.0
2026-01-20,-0.020842460953261366,0.0,1.0,1.0,0.0,0.0,0.0,0.0
2026-01-21,0.011521117633559896,0.0,1.0,1.0,0.0,0.0,0.0,0.0
2026-01-22,0.005472500707902839,0.0,1.0,1.0,0.0,0.0,0.0,0.0
2026-01-23,0.0003268164274814467,0.0,1.0,1.0,0.0,0.0,0.0,0.0
2026-01-26,0.004993594260159995,0.0,1.0,1.0,0.0,0.0,0.0,0.0
2026-01-27,0.004073587840441206,0.0,1.0,1.0,0.0,0.0,0.0,0.0
2026-01-28,-8.172639170034302e-05,0.0,1.0,1.0,0.0,0.0,0.0,0.0
2026-01-29,-0.0012934674424620596,0.0,1.0,1.0,0.0,0.0,0.0,0.0
2026-01-30,-0.004311179414459687,0.0,1.0,1.0,0.0,0.0,0.0,0.0
2026-02-02,0.005376785277364959,0.0,1.0,1.0,0.0,0.0,0.0,0.0
2026-02-03,-0.008439495590662816,0.0,1.0,1.0,0.0,0.0,0.0,0.0
2026-02-04,-0.005085300155014849,0.0,1.0,1.0,0.0,0.0,0.0,0.0
2026-02-05,-0.012326677853831569,0.0,1.0,1.0,0.0,0.0,0.0,0.0
2026-02-06,0.019504344282200492,0.0,1.0,1.0,0.0,0.0,0.0,0.0
2026-02-09,0.004680117860122124,0.0,1.0,1.0,0.0,0.0,0.0,0.0
2026-02-10,-0.0033091822845108254,0.0,1.0,1.0,0.0,0.0,0.0,0.0
2026-02-11,-4.895726995002292e-05,0.0,1.0,1.0,0.0,0.0,0.0,0.0
2026-02-12,-0.015784941386115747,0.0,1.0,1.0,0.0,0.0,0.0,0.0
2026-02-13,0.0004989646444464313,0.0,1.0,1.0,0.0,0.0,0.0,0.0
2026-02-17,0.001030790630656142,0.0,1.0,1.0,0.0,0.0,0.0,0.0
2026-02-18,0.005550636821133992,0.0,1.0,1.0,0.0,0.0,0.0,0.0
2026-02-19,-0.0028261153915334347,0.0,1.0,1.0,0.0,0.0,0.0,0.0
2026-02-20,0.0069157557021739535,0.0,1.0,1.0,0.0,0.0,0.0,0.0
2026-02-23,-0.010439959471456817,0.0,1.0,1.0,0.0,0.0,0.0,0.0
2026-02-24,0.007622488962384821,0.0,1.0,1.0,0.0,0.0,0.0,0.0
2026-02-25,0.008103433970129359,0.0,1.0,1.0,0.0,0.0,0.0,0.0
2026-02-26,-0.0053800269955672775,0.0,1.0,1.0,0.0,0.0,0.0,0.0
2026-02-27,-0.004348795128036542,0.0,1.0,1.0,0.0,0.0,0.0,0.0
